L,001495706,20230811,0000,101,0,+,050000
L,001495706,20230811,0000,102,0,+,050000
L,001495706,20230811,0000,103,0,+,050000
S,515219731,20230811,0000,201,20400,+,120000
T,515948321,20230511,0000,301,8500,+,50000
T,515948321,20230511,0000,302,8500,+,50000
T,515948321,20230511,0000,303,8500,+,50000
T,515948321,20230511,0000,304,8500,+,50000
T,515948321,20230511,0000,305,8500,+,50000
T,515948321,20230511,0000,306,8500,+,50000
T,514486547,20230411,0000,401,6800,+,40000
T,013360714,20230311,0000,501,5100,+,30000
T,515948321,20230318,0000,601,7650,+,45000
T,515948321,20230217,0000,602,7650,+,45000
T,515948321,20230416,0000,603,7650,+,45000
T,515948321,20230515,0000,604,7650,+,45000
